category,name,description
user.behavior,broken_site_report.browser_info.experiments,"Experiments in which the user is actively enrolled. List of objects with `branch`, `slug`, and `kind`. For instance, `[{"branch":"some-branch", "slug":"some-experiment", "kind":"nimbusExperiment"}]`"
user.device,broken_site_report.browser_info.graphics.device_pixel_ratio,"A decimal number"
user.device,broken_site_report.browser_info.graphics.devices_json,"JSON array of objects with `vendorID` and `deviceID`. For instance, `[{"vendorID":"0x000", "deviceID":"0x001"}]`"
user.device,broken_site_report.browser_info.graphics.drivers_json,"JSON array of objects with `renderer` and `version`. For instance, `[{"renderer":"demo", "version":"0.2"}]`"
system,broken_site_report.browser_info.graphics.features_json,"JSON object. For instance, `{"WEBRENDER":"available","WEBRENDER_PARTIAL":"disabled (User disabled via pref)"}`"
user.device,broken_site_report.browser_info.graphics.has_touch_screen,"Whether a touch screen was detected"
N/A,broken_site_report.browser_info.graphics.monitors_json,"JSON array of objects with `screenWidth`, 'screenHeight`, and `scale`. For instance, `[{"screenWidth":3584,"screenHeight":2240,"scale":2}]`"
user.settings.privacy,broken_site_report.browser_info.prefs.cookie_behavior,"Value of `network.cookie.cookieBehavior`"
user.behavior,broken_site_report.browser_info.prefs.forced_accelerated_layers,"Value of `layers.acceleration_force.enabled`"
user.settings.privacy,broken_site_report.browser_info.prefs.global_privacy_control_enabled,"Value of `privacy.globalprivacycontrol.enabled`"
user.settings,broken_site_report.browser_info.prefs.h1_in_section_useragent_styles_enabled,"Value of `layout.css.h1-in-section-ua-styles.enabled`"
user.settings.installs,broken_site_report.browser_info.prefs.installtrigger_enabled,"Value of `extensions.InstallTrigger.enabled`"
user.settings,broken_site_report.browser_info.prefs.opaque_response_blocking,"Value of `browser.opaqueResponseBlocking`"
user.settings.privacy,broken_site_report.browser_info.prefs.resist_fingerprinting_enabled,"Value of `privacy.resistFingerprinting`"
user.system_performance,broken_site_report.browser_info.prefs.software_webrender,"Value of `gfx.webrender.software`"
user.settings.privacy,broken_site_report.browser_info.prefs.third_party_cookie_blocking_enabled,"Value of `network.cookie.cookieBehavior.optInPartitioning`"
user.settings.privacy,broken_site_report.browser_info.prefs.third_party_cookie_blocking_enabled_in_pbm,"Value of `network.cookie.cookieBehavior.optInPartitioning.pbmode`"
N/A,broken_site_report.browser_info.security.antispyware,"Which antispyware software was reported on this system."
N/A,broken_site_report.browser_info.security.antivirus,"Which antivirus software was reported on this system."
system,broken_site_report.browser_info.security.firewall,"Which firewall software was reported on this system."
user.device,broken_site_report.browser_info.system.is_tablet,"Whether the device is a tablet"
user.system_performance,broken_site_report.browser_info.system.memory,"How many mb of RAM is reported for the system"
user.content.private,broken_site_report.description,"An optional description of the site issue the user is experiencing. May contain PII."
user.behavior,broken_site_report.tab_info.antitracking.block_list,"Currently either `basic` or `strict`, may change in the future."
user.behavior,broken_site_report.tab_info.antitracking.btp_has_purged_site,"Whether the site in the current tab has recently been purged by Bounce Tracking Protection."
user.settings.privacy,broken_site_report.tab_info.antitracking.etp_category,"The current ETP category, either `standard`, `strict`, or `custom`."
user.behavior,broken_site_report.tab_info.antitracking.has_mixed_active_content_blocked,"Whether the reported tab has any blocked mixed active content"
user.behavior,broken_site_report.tab_info.antitracking.has_mixed_display_content_blocked,"Whether the reported tab has any blocked mixed display content"
user.behavior,broken_site_report.tab_info.antitracking.has_tracking_content_blocked,"Whether the reported tab has any blocked tracking content"
user.settings.privacy,broken_site_report.tab_info.antitracking.is_private_browsing,"Whether the tab the user was on when reporting is in private browsing mode"
user.behavior,broken_site_report.tab_info.frameworks.fastclick,"Whether the FastClick web library was detected on the original tab."
user.behavior,broken_site_report.tab_info.frameworks.marfeel,"Whether the Marfeel web framework was detected on the original tab."
user.behavior,broken_site_report.tab_info.frameworks.mobify,"Whether the Mobify web framework was detected on the original tab."
N/A,broken_site_report.tab_info.languages,"The languages the site actually sees (may be overridden)"
N/A,broken_site_report.tab_info.useragent_string,"The userAgent the site actually sees (may be overridden)"
user.behavior.browsing.urls,broken_site_report.url,"The URL of the site being reported. May contain PII."
user.behavior.search,browser.search.ad_clicks,"Records clicks of adverts on SERP pages.The key format is`<provider-name>.in-content.[sap|sap-follow-on|organic].[code|none](.[channel])?`,where:* `provider-name` is the name of the provider,* `sap|sap-follow-on|organic` is the search access point,* `code` is set when the url matches any of the provider's code prefixes,* `channel` is set to the url "channel" query parameter."
user.behavior.search,browser.search.in_content,"Records the type of interaction a user has on SERP pages."
user.behavior.search,browser.search.with_ads,"Records counts of SERP pages with adverts displayed.The key format is`<provider-name>.in-content.[sap|sap-follow-on|organic].[code|none](.[channel])?`,where:* `provider-name` is the name of the provider,* `sap|sap-follow-on|organic` is the search access point,* `code` is set when the url matches any of the provider's code prefixes,* `channel` is set to the url "channel" query parameter."
system.operations,client_deduplication.experiment_timeframe,"A string we use to identify which run of the experiment this is."
user.unique_id.pseudonymous,client_deduplication.hashed_gaid,"A hashed and salted version of the Google Advertising ID from the device."
user.device.device_id,client_deduplication.valid_advertising_id,"Whether or not we get a valid advertising ID from the device."
user.behavior,collections.add_tab_button,"A user tapped the "add tab" button in the three dot menu of collections"
user.behavior,collections.all_tabs_restored,"A user tapped "open tabs" from collection menu"
user.behavior,collections.long_press,"A user long pressed on a tab, triggering the collection creation screen"
user.behavior,collections.placeholder_cancel,"User interacted with the `X` button from the homescreen no collectionsplaceholder."
user.behavior,collections.removed,"A user tapped delete collection from collection menu"
user.behavior,collections.rename_button,"A user pressed the "rename collection" button in the three dot menu"
user.behavior,collections.renamed,"A user renamed a collection"
user.behavior,collections.save_button,"A user pressed the "save to collection" button on either the home orbrowser screen, triggering the collection creation screen to open(tab_select_opened)"
user.behavior,collections.saved,"A user saved a list of tabs to a new collection"
user.behavior,collections.shared,"A user tapped share collection"
user.behavior,collections.tab_removed,"A user tapped remove tab from collection tab list"
user.behavior,collections.tab_restored,"A user restored a tab from collection tab list"
user.behavior,collections.tab_select_opened,"A user opened the select tabs screen (the first step of the collectioncreation flow)"
user.behavior,collections.tabs_added,"A user saved a list of tabs to an existing collection"
user.behavior,context_menu.item_tapped,"A user tapped an item in the browsers context menu"
user.behavior,contextual_hint.tracking_protection.dismiss,"The enhanced tracking protection contextual hint wasdismissedby pressing the close button"
user.settings.privacy,contextual_hint.tracking_protection.display,"The enhanced tracking protection contextual hint wasdisplayed."
user.behavior,contextual_hint.tracking_protection.inside_tap,"The user tapped inside of the etp contextual hint(which brings up the etp panel for this site)."
user.behavior,contextual_hint.tracking_protection.outside_tap,"The user tapped outside of the etp contextual hint(which has no effect)."
user.behavior,contextual_menu.copy_tapped,"The context menu's 'copy' option was used."
user.behavior,contextual_menu.long_press_tapped,"Text selection contextual menu option tapped."
user.behavior,contextual_menu.search_tapped,"The context menu's 'search' option was used."
user.behavior,contextual_menu.select_all_tapped,"The context menu's 'select all' option was used."
user.behavior,contextual_menu.share_tapped,"The context menu's 'share' option was used."
user.behavior,cookie_banners.allow_re_engagement_dialog,"An user clicked the dismiss banner buttonon the cookie banner re-engagement dialog"
user.behavior,cookie_banners.cfr_dismissal,"The cookie banners CFR was dismissed by the user by interactingwith the outside of the popup"
user.behavior,cookie_banners.cfr_shown,"The cookie banner cfr has been shown"
user.settings.privacy,cookie_banners.exception_added,"A user added a cookie banner handling exception throughthe toggle in the protections panel."
user.settings.privacy,cookie_banners.exception_removed,"A user removed a cookie banner handlingexception through the toggle in the protections panel."
user.settings.privacy,cookie_banners.not_now_re_engagement_dialog,"An user clicked the not now button onthe cookie banner re-engagement dialog"
user.settings.privacy,cookie_banners.opt_out_re_engagement_dialog,"An user opt out the cookie banner re-engagementdialog by clicking the X button"
user.behavior,cookie_banners.report_domain_site_button,"The user has pressed the report site domain buttonfrom the cookie banner reducer details panel."
user.behavior,cookie_banners.report_site_cancel_button,"The user has pressed the report site domain cancel buttonfrom the cookie banner reducer details panel."
user.behavior.browsing.urls,cookie_banners.report_site_domain,"A user can report a site domain(Ex. for https://edition.cnn.com/site domain will be cnn.com) when the cookie banner reducer is notworking from the cookie banner details panel."
user.settings.privacy,cookie_banners.setting_changed,"A user changed their setting."
user.settings.privacy,cookie_banners.setting_changed_pmb,"A user changed their setting in private mode."
user.behavior,cookie_banners.visited_panel,"A user visited the cookie banner toolbar panel"
user.behavior,cookie_banners.visited_re_engagement_dialog,"An user visited the cookie banner re-engagement dialog"
user.settings.privacy,cookie_banners.visited_setting,"A user visited the cookie banner handling screen"
system.operations,crash_reporter.closed,"The crash reporter was closed"
user.system_performance,crash_reporter.opened,"The crash reporter was displayed"
user.financial.credit_card,credit_cards.autofill_card,"A counter of the number of times the user has autofilleda credit card."
user.behavior,credit_cards.autofill_prompt_dismissed,"Credit card autofill prompt was dismissed."
user.behavior,credit_cards.autofill_prompt_expanded,"Credit card autofill prompt was expanded."
user.behavior,credit_cards.autofill_prompt_shown,"Credit card autofill prompt was shown."
user.financial.credit_card,credit_cards.autofilled,"User has autofilled a credit card."
user.payment,credit_cards.delete_card,"A counter of the number of credit cards that have been deleted bythe user."
user.financial.credit_card,credit_cards.deleted,"A counter of the number of credit cards that have been deleted bythe user."
user.payment,credit_cards.form_detected,"A credit card form was detected."
user.financial.credit_card,credit_cards.management_add_tapped,"User has tapped the add button through credit card management settings."
user.payment,credit_cards.management_card_tapped,"User has tapped on a saved card through credit card management settings."
user.financial.credit_card,credit_cards.manual_save,"A counter of the number of credit cards that have been savedmanually by the user."
user.payment,credit_cards.modified,"A credit card has been modified by the user."
user.financial.credit_card,credit_cards.save_prompt_create,"User saved a credit card using the autofill save prompt."
user.behavior,credit_cards.save_prompt_shown,"The credit card autofill save prompt is shown."
user.behavior,credit_cards.save_prompt_update,"User updated a credit card using the autofill save prompt."
user.payment,credit_cards.saved,"A counter of the number of credit cards that have been savedmanually by the user."
user.financial.credit_card,credit_cards.saved_all,"Counter of number of credit cards that are currently stored by user."
user.behavior,custom_tab.action_button,"A user pressed the action button provided by the launching app"
user.behavior,custom_tab.closed,"A user closed the custom tab"
user.behavior,custom_tab.menu,"A user opened the custom tabs menu"
user.settings,customization_settings.dynamic_toolbar,"True if the user has dynamic toolbar enabled, false if the user has dynamic toolbar disabled."
user.behavior,customize_home.bookmarks,"An indication of whether the recentlysaved section is enabled to be displayed. This was previously customize_home.recently_saved."
user.behavior,customize_home.contile,"An indication of whether Contile is enabled to be displayed"
user.behavior,customize_home.jump_back_in,"An indication of whether the Jump backin section is enabled to be displayed"
user.behavior,customize_home.most_visited_sites,"An indication of whether the most visited sitesare enabled to be displayed"
user.settings,customize_home.opening_screen,"What opening screen preference the user has selectedunder "Customize Home"."homepage," "last tab," or "homepage after 4 hours"default: "homepage after 4 hours""
user.settings,customize_home.pocket,"An indication of whether Pocket is enabled to be displayed"
user.settings,customize_home.preference_toggled,"A user toggles the preference for the home screen items."
user.behavior,customize_home.recently_saved,"An indication of whether the recentlysaved section is enabled to be displayed"
user.settings,customize_home.recently_visited,"An indication of whether the Recentlyvisited section is enabled to be displayed"
user.behavior,customize_home.sponsored_pocket,"An indication of whether Pocket sponsored stories are enabledto be displayed"
user.behavior,debug_drawer.debug_drawer_enabled,"Whether or not the user has enabled the Debug Drawer feature."
user.settings,desktop_mode.settings_always_request_desktop_site,"The user activated desktop mode through the site settings."
user.behavior,download_notification.cancel,"A user cancelled a download in the download notification"
user.behavior,download_notification.in_app_open,"A user opened a downloaded file in the in-app notification link"
user.behavior,download_notification.in_app_try_again,"A user tapped on try again when a download fails in the in-appnotification link"
user.behavior,download_notification.open,"A user opened a downloaded file in the download notification"
user.behavior,download_notification.pause,"A user paused a download in the download notification"
user.behavior,download_notification.resume,"A user resumed a download in the download notification"
user.behavior,download_notification.try_again,"A user tapped on try again when a download fails in the downloadnotification"
user.behavior,downloads.cancel_download,"The user cancels downloading a file on the downloads screen."
user.behavior,downloads.deleted,"A user deleted a downloaded file."
user.behavior,downloads.downloaded_pdf_open_count,"A counter that indicates how many times open button has been clickedfor a downloaded pdf."
user.behavior,downloads.filtered,"A user chose a filter for the downloads page.The filter can be All, Image, Video, Document or Other."
user.behavior,downloads.pause_download,"The user pauses a downloading file on the downloads screen."
user.behavior,downloads.pdf_download_count,"A counter that indicates how many times a pdf has been downloaded."
user.behavior,downloads.resume_download,"The user resumes downloading a file on the downloads screen."
user.behavior,downloads.retry_download,"The user retries to download a failed download file on the downloads screen."
user.behavior,downloads.screen_viewed,"A user opened the downloads screen."
user.behavior,downloads.share_file,"A user shared the downloaded file."
user.behavior,downloads.share_url,"A user shared the downloaded file URL."
user.behavior,downloads.snackbar_clicked,"A user clicked the manage settings snackbar."
user.behavior,downloads_management.downloads_screen_opened,"A counter for the number of times users access the "Downloads" folder inside the app."
user.behavior,downloads_management.item_deleted,"A counter for how often a user deletes one / more downloads at a time."
user.behavior,downloads_management.item_opened,"A counter for how often a user tap to opens a download from inside the "Downloads" folder."
user.behavior,downloads_misc.download_added,"A counter for how many times something is downloaded in the app."
system.operations,engine.kill_background_age,"Measures the age of the engine session of a background tab at thetime its content process got killed."
system.operations,engine.kill_foreground_age,"Measures the age of the engine session of a foreground (selected) tabat the time its content process got killed."
system.operations,engine.tab_kills,"How often was the content process of a foreground (selected) orbackground tab killed."
system.operations,engine_tab.foreground_metrics,"Event collecting data about the state of tabs when the app comes back tothe foreground."
system.operations,engine_tab.kill_background_age,"Measures the age of the engine session of a background tab at thetime its content process got killed."
system.operations,engine_tab.kill_foreground_age,"Measures the age of the engine session of a foreground (selected) tabat the time its content process got killed."
system.operations,engine_tab.kills,"How often was the content process of a foreground (selected) orbackground tab killed."
system.operations,engine_tab.reloaded,"A tab was reloaded by the engine."
system.operations,engine_tab.tab_killed,"A tab was killed by the engine to free memory."
user.behavior,error_page.visited_error,"A user encountered an error page"
user.behavior,events.app_opened,"A user opened the app (from cold start, to the homescreen or browser)"
user.behavior,events.app_opened_all_startup,"**This probe has a known flaw:** for COLD start up, it doesn't take intoaccount if the process is already running when the app starts, possiblyinflating results (e.g. a Service started the process 20min ago and onlynow is HomeActivity launching). See the `cold_*_app_to_first_frame` probesfor a replacement.<br><br>A user opened the app to the HomeActivity. The HomeActivityencompasses the home screen, browser screen, settings screen,collections and other screens in the nav_graph.This differs from the app_opened probe because it measures allstartups, not just cold startup. Note: There is a short gapbetween the time application goes into background and the timeandroid reports the application going into the background.Note: This metric does not record souce when app opened fromtask switcher: open application -> press home button -> openrecent tasks -> choose fenix. In this case will report[source = unknown, type = hot, has_saved_instance_state = false]."
system.operations,events.app_received_intent,"The system received an Intent for the HomeActivity. An intentis received an external entity wants to the app to displaycontent. Intents can be received when the app is closed – atwhich point the app will be opened – or when the app isalready opened – at which point the already open app will makechanges such as loading a url. This can be used loosely as aheuristic for when the user requested to open the app. TheHomeActivity encompasses the home screen and browser screen butmay include other screens. This differs from the app_openedprobe because it measures all startups, not just cold startup."
user.behavior,events.browser_menu_action,"A browser menu item was tapped.The name of the item that the user tapped is stored in extras with thekey `item`."
user.behavior,events.browser_toolbar_action,"A browser toolbar item was tapped.The name of the item that the user tapped is stored in extras with thekey `item`."
user.behavior,events.browser_toolbar_erase_tapped,"An event that indicates that a user has tappederase button on browser toolbar."
user.behavior,events.browser_toolbar_home_tapped,"An event that indicates that a user has tappedhome button on browser toolbar."
user.behavior,events.browser_toolbar_input_cleared,"A user pressed the circle cross icon, clearing the input in the toolbar."
user.behavior,events.browser_toolbar_qr_scan_completed,"An event that indicates that a QR code has been scanned successfully."
user.behavior,events.browser_toolbar_qr_scan_tapped,"An event that indicates that a user has tappedQR scan button on browser toolbar."
user.behavior,events.browser_toolbar_security_indicator_tapped,"An event that indicates that a user has tappedthe security indicator icon (at the start of the domain name)."
user.behavior,events.copy_url_tapped,"An event that indicates that a user has selectedcopy option when long pressing on url bar."
user.behavior.search,events.custom_engine_created,"A user created a new custom search engine to use"
user.behavior,events.custom_engine_settings_viewed,"A user viewed the custom search engine setting"
user.settings,events.default_browser_changed,"Indicates the default browser was changed"
user.behavior,events.default_browser_notif_shown,"Default browser notification was shown to the user"
user.behavior,events.default_browser_notif_tapped,"User tapped on the default browser notification"
user.behavior.search,events.default_engine_selected,"A user selected a new default search engine to use"
user.behavior.browsing.urls,events.entered_url,"A user entered a url"
system.operations,events.first_session_ping_cancelled,"First session ping cancelled because Adjust metrics were empty."
N/A,events.form_data_failure,"Form data retrieval from a tab failed."
user.settings.privacy,events.marketing_notification_allowed,"True if marketing notifications are allowed, otherwise false."
user.behavior.browsing,events.normal_and_private_uri_count,"A counter of URIs visited by the user in the current session, includingpage reloads. This includes private browsing.  This does not includebackground page requests and URIs from embedded pages but may beincremented without user interaction by website scripts thatprogrammatically redirect to a new location."
user.behavior,events.opened_ext_pdf,"A user opened a PDF with Fenix from another app"
user.behavior,events.opened_link,"A user opened a link with Fenix"
user.behavior.search,events.performed_search,"A user performed a search"
user.settings,events.preference_toggled,"A user toggled a boolean preference in settings"
system.operations,events.print_completed,"Printing from the share sheet or menu successfully completed."
system.operations,events.print_failure,"A user tapped the print in the menu or share sheet but an error occurredand the process failed."
user.behavior,events.print_tapped,"A user tapped the print option in the menu or share sheet."
user.behavior,events.re_engagement_notif_shown,"Re-engagement notification was shown to the user"
user.behavior,events.re_engagement_notif_tapped,"User tapped on the re-engagement notification"
user.behavior,events.recently_closed_tabs_opened,"An event that indicates that the userhas accessed recently closed tabs list.Deprecated in favor of "recently_closed_tabs.opened""
system.operations,events.save_to_pdf_completed,"Saving to PDF successfully generated a PDF."
system.operations,events.save_to_pdf_failure,"A user tapped the save pdf but an error occurredand the process failed."
user.behavior,events.save_to_pdf_tapped,"A user tapped the save to pdf option in the share sheet."
user.behavior.search,events.search_bar_tapped,"A user tapped the search bar"
user.behavior,events.share_menu_action,"A share menu item was tapped.The name of the item that the user tapped is stored in extras with thekey `item`."
user.behavior,events.share_to_app,"A user selected an app to share to from the share sheet."
user.behavior,events.ss_menu_closed,"A user closed the search shortcut menu in the search view by pressing the shortcuts button"
user.behavior,events.ss_menu_opened,"A user opened the search shortcut menu in the search view by pressing the shortcuts button"
user.behavior.search,events.ss_selected,"A user selected a search shortcut engine to use"
user.behavior,events.synced_tab_opened,"An event that indicates that a synced tab was opened."
user.behavior,events.tab_counter_menu_action,"A tab counter menu item was tapped"
